# Rime user dictionary
#@/db_name	moqi
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	1633
#@/user_id	b9b9d84e-d65d-4f94-b6e5-e4206f09e7a8
an[bn pd[ff 	安排	c=1 d=0.467666 t=1633
da[zd dc[gd 	达到	c=1 d=0.0174224 t=1633
dc 	到	c=4 d=0.94522 t=1633
dc[gd di[gu ui[oz 	到底是	c=0 d=0.0412714 t=1633
dc[gd di[gu ui[oz ua 	到底是啥	c=1 d=0.414783 t=1633
dc[gd le[al 	到了	c=1 d=0.0528657 t=1633
dc[gd yi[aa ge[rl 	到一个	c=1 d=0.00657159 t=1633
dc[rd ji[yu ui[oc 	倒计时	c=3 d=0.110875 t=1633
dc[sc hh[vj lj[ml 	导航栏	c=2 d=0.0747 t=1633
dc[zz 	道	c=1 d=0.000464291 t=1633
dd 	带	c=1 d=0.351692 t=1633
dd[rc 	待	c=1 d=0.353455 t=1633
dd[ry jx[rj 	代价	c=1 d=0.00210172 t=1633
dd[ry ww[ld 	代为	c=0 d=0.000375375 t=1633
dd[ry ww[ld vv[zl ih[ry 	代为追偿	c=2 d=0.00783894 t=1633
de 	的	c=1 d=0.00344787 t=1633
de[bu hx[yu 	的话	c=0 d=0.0324652 t=1633
dg[bb lu[eu 	登录	c=1 d=0.000876127 t=1633
dg[vc dd[rc 	等待	c=1 d=0.358796 t=1633
dg[vc hv[ry 	等会	c=1 d=0.00522135 t=1633
dh[xe qm[bd 	当前	c=5 d=0.38978 t=1633
di 	地	c=1 d=0.0992613 t=1633
di[fu kz[fk 	抵扣	c=0 d=0.0546074 t=1633
di[ru yu[au 	低于	c=2 d=0.0148033 t=1633
di[ty fh[wv 	地方	c=1 d=0.214381 t=1633
di[ty tu[kd 	地图	c=1 d=0.2334 t=1633
di[ty vi[tv 	地址	c=4 d=0.10336 t=1633
di[vd si[ke tn[wm 	第四条	c=1 d=0.0566989 t=1633
di[vd sj[ae dm[vh 	第三点	c=1 d=0.131994 t=1633
di[vd sj[ae fh[wv 	第三方	c=3 d=0.20221 t=1633
di[vd yi[aa bu[vu 	第一步	c=2 d=0.127305 t=1633
di[vd yi[aa ci[dq 	第一次	c=1 d=0.000490542 t=1633
dj[bu du[qi 	单独	c=1 d=0.0675424 t=1633
dj[rd ui[oz 	但是	c=3 d=0.113341 t=1633
dj[rd yz[ol yu[au 	但由于	c=1 d=0.0963276 t=1633
dm 	点	c=3 d=0.00568912 t=1633
dm[gv 	店	c=1 d=0.00343067 t=1633
dm[ov ds[yl ie[au 	电动车	c=1 d=0.00392653 t=1633
dm[ov ll[ol 	电量	c=1 d=0.0221482 t=1633
dm[vh bj[bf 	点半	c=1 d=0.00759701 t=1633
dm[vh ji[fk 	点击	c=5 d=0.954809 t=1633
dn[yk yj[uk 	调研	c=4 d=0.168589 t=1633
dn[yk ys[kf 	调用	c=1 d=0.0193512 t=1633
do 	多	c=2 d=0.518718 t=1633
do[xx fh[fw 	多放	c=2 d=0.976018 t=1633
do[xx uc[xp 	多少	c=5 d=1.85688 t=1633
do[xx uc[xp qm[jj 	多少钱	c=2 d=0.646633 t=1633
do[xx vs[hv 	多种	c=1 d=0.0584257 t=1633
dr 	端	c=1 d=0.000893825 t=1633
ds[ax xi[ak 	东西	c=2 d=0.00821536 t=1633
ds[cv ui[gy vh[pn 	董事长	c=1 d=0.278037 t=1633
ds[yl hx[at 	动画	c=1 d=0.000550326 t=1633
du[mt 	杜	c=4 d=0.0849287 t=1633
du[qi ug[pf 	独生	c=1 d=0.802519 t=1633
dv 	对	c=1 d=0.00181803 t=1633
dv[yc bi[bb 	对比	c=1 d=0.00814786 t=1633
dv[yc jp[fn 	对接	c=3 d=0.0152478 t=1633
dz 	都	c=1 d=0.0183969 t=1633
dz bu[ab xu[ye yc[xn 	都不需要	c=1 d=0.00219846 t=1633
dz xp[by de[bu 	都写的	c=1 d=0.174645 t=1633
dz[le mw[du yz[uo 	都没有	c=1 d=0.00191125 t=1633
dz[le ui[oz 	都是	c=0 d=0.0484325 t=1633
dz[le ui[oz ti[fz qm[bd fh 	都是提前放	c=1 d=0.486752 t=1633
dz[le yz[uo na[ke xp[ve 	都有哪些	c=1 d=0.0742736 t=1633
ee[by du[gy 	额度	c=1 d=0.529935 t=1633
en 	嗯	c=4 d=0.230818 t=1633
er[pv ts[ll 	儿童	c=1 d=0.790571 t=1633
fa 	发	c=2 d=0.219416 t=1633
fa[dq dk[bz jx[ry ri[ka 	法定假日	c=1 d=0.501576 t=1633
fa[fy gw[sk 	发给	c=2 d=0.206343 t=1633
fa[fy gw[sk ta[ry mf[rm 	发给他们	c=1 d=0.000572785 t=1633
fa[fy yi[aa ff[rf 	发一份	c=1 d=0.00121259 t=1633
ff 	分	c=0 d=0.0119433 t=1633
ff bu[vu vz[mu 	分步骤	c=1 d=0.120032 t=1633
ff[bd ge[bd 	分割	c=1 d=0.00107547 t=1633
ff[bd kd[ac 	分开	c=1 d=0.0271874 t=1633
ff[bd pw[yj 	分配	c=1 d=0.810584 t=1633
ff[bd xi[mj 	分析	c=1 d=0.0658748 t=1633
ff[xb nu[nx 	愤怒	c=0 d=0.00170774 t=1633
ff[xb nu[nx vi[rq 	愤怒值	c=1 d=0.017163 t=1633
fh 	放	c=0 d=0.0484325 t=1633
fh[fw da[ar 	放大	c=0 d=0.0250324 t=1633
fh[fw dc[gd 	放到	c=3 d=0.0160429 t=1633
fh[fw ge[rl 	放个	c=1 d=0.318224 t=1633
fh[fw jx[ry 	放假	c=1 d=0.472367 t=1633
fh[fw kd[ac 	放开	c=1 d=0.0466538 t=1633
fh[fw le[al 	放了	c=2 d=0.620742 t=1633
fh[fw vi[sq 	放置	c=1 d=0.104874 t=1633
fh[rf vf[ub 	仿真	c=1 d=0.0161635 t=1633
fh[wv an[bm 	方案	c=17 d=1.77714 t=1633
fh[wv bm[rg 	方便	c=1 d=0.000349153 t=1633
fh[wv fa[dq 	方法	c=1 d=0.0151463 t=1633
fh[wv xl[pk 	方向	c=1 d=0.00559994 t=1633
fj 	反	c=1 d=0.0025415 t=1633
fj[iy kv[ub 	反馈	c=1 d=0.00308848 t=1633
fj[iy kv[ub ui 	反馈是	c=1 d=0.0149956 t=1633
fj[iy vg[av 	反正	c=1 d=0.231078 t=1633
fj[iy vi[dn 	反之	c=1 d=0.0177743 t=1633
fj[zy hv[kk 	返回	c=1 d=0.000645813 t=1633
fu[db ze[fb 	负责	c=0 d=0.000941925 t=1633
fu[oy wu[wl 	服务	c=2 d=0.00208145 t=1633
fu[rc qm[jj 	付钱	c=1 d=0.00257991 t=1633
fu[vc he[rk 	符合	c=0 d=0.0546074 t=1633
fw 	非	c=2 d=0.799115 t=1633
fw[vd xk[rd 	飞行	c=2 d=0.00295214 t=1633
fw[vd xk[rd vs 	飞行中	c=1 d=0.00105417 t=1633
fz ce 	否侧	c=1 d=0.00030659 t=1633
gc 	高	c=10 d=1.9678 t=1633
gc[nk su[yi wo[ga 	告诉我	c=1 d=0.67368 t=1633
gc[wk qk[do 	高清	c=2 d=0.171936 t=1633
gd[jw ig[wv 	改成	c=1 d=0.052148 t=1633
gd[jw wj[by 	改完	c=1 d=0.00504176 t=1633
ge 	个	c=2 d=0.0411832 t=1633
ge xn[lb ui[oc 	个小时	c=1 d=0.384812 t=1633
ge[rl rf[pn so[hj de[rc uv[hx 	个人所得税	c=1 d=0.519442 t=1633
ge[rn ls[vl 	鸽笼	c=1 d=0.136695 t=1633
ge[rn ue[rg 	鸽舍	c=3 d=0.488568 t=1633
ge[rn zi[la 	鸽子	c=5 d=0.247226 t=1633
gf 	跟	c=2 d=0.0730569 t=1633
gf[mg ju[fg 	根据	c=4 d=0.428683 t=1633
gf[zg ta[ry mf[rm 	跟他们	c=1 d=0.000515692 t=1633
gf[zg wo[ga 	跟我	c=1 d=0.451581 t=1633
gg 	更	c=1 d=0.00250366 t=1633
gg[an xb[lj 	更新	c=1 d=0.0544757 t=1633
gh[kd hc[nz 	刚好	c=1 d=0.00296761 t=1633
gj[au rc[fy 	干扰	c=1 d=0.0014018 t=1633
gk[xt wo[ga 	怪我	c=1 d=0.156453 t=1633
go[zc yu[au 	过于	c=1 d=0.00133343 t=1633
gr[bt bi[mc 	关闭	c=3 d=1.4848 t=1633
gs[aa pg[mo 	工棚	c=1 d=0.136014 t=1633
gs[aa zi[db 	工资	c=1 d=0.00918669 t=1633
gs[aa zo[rv 	工作	c=1 d=0.463013 t=1633
gs[bs si[vk 	公司	c=10 d=0.553596 t=1633
gs[gl ng[sb 	功能	c=3 d=0.194597 t=1633
gu[kg dk[bz 	固定	c=1 d=0.235746 t=1633
gv[fj dk[bz 	规定	c=1 d=0.0284388 t=1633
gw 	给	c=4 d=0.550596 t=1633
gw[sk iu[uu 	给出	c=0 d=0.00629761 t=1633
gw[sk ni[rx 	给你	c=1 d=0.00120052 t=1633
gw[sk wo[ga 	给我	c=1 d=0.00120654 t=1633
gz[bg fh[hf 	购房	c=3 d=1.80386 t=1633
hc 	好	c=5 d=0.678728 t=1633
hc[ie 	郝	c=2 d=0.000968898 t=1633
hc[nz de[bu 	好的	c=5 d=0.072989 t=1633
hc[nz do[xx 	好多	c=1 d=0.0026189 t=1633
hc[nz le[al 	好了	c=1 d=0.000287295 t=1633
hd 	还	c=3 d=0.01289 t=1633
hd[zb bu[ab gz[jx 	还不够	c=0 d=0.00135009 t=1633
hd[zb bu[ab gz[jx ig[wv uu[wh 	还不够成熟	c=1 d=0.0135686 t=1633
hd[zb hv[ry 	还会	c=1 d=0.491644 t=1633
hd[zb mw[du 	还没	c=1 d=0.902388 t=1633
hd[zb mw[du hv[kk fu[pw 	还没回复	c=1 d=0.199888 t=1633
hd[zb mw[du yz[uo 	还没有	c=1 d=0.00869506 t=1633
hd[zb ng[sb 	还能	c=0 d=0.00042963 t=1633
hd[zb ui[oz 	还是	c=2 d=0.00645517 t=1633
hd[zb ui[oz ve[zw ge[rl 	还是这个	c=1 d=0.0023344 t=1633
hd[zb yc[xn 	还要	c=1 d=0.00123939 t=1633
hd[zb yc[xn kc[lk lv[hx 	还要考虑	c=1 d=0.00729913 t=1633
hd[zb yz[uo 	还有	c=1 d=0.212248 t=1633
hd[zb zd[ut 	还在	c=0 d=0.000565622 t=1633
hd[zb zd[ut pw[yj vi[sq vs 	还在配置中	c=1 d=0.00568457 t=1633
he[kr dc[gd 	喝到	c=0 d=4.55097e-05 t=1633
he[kr dc[gd rv 	喝到瑞	c=1 d=0.000457378 t=1633
he[mr 	核	c=1 d=0.0115624 t=1633
hf[rg do[xx 	很多	c=1 d=0.00318278 t=1633
hf[rg do[xx ci[dq 	很多次	c=1 d=0.00160441 t=1633
hf[rg uc[xp 	很少	c=1 d=0.245367 t=1633
hf[rg uy[iy 	很顺	c=1 d=0.0461896 t=1633
hk[xb yy[nz 	怀孕	c=1 d=0.0262523 t=1633
ho 	或	c=1 d=0.00687406 t=1633
ho[cq qu[ey 	获取	c=1 d=0.092089 t=1633
ho[ga ve[lo 	或者	c=2 d=0.138479 t=1633
hr[wb 	环	c=1 d=0.33454 t=1633
hr[wb jk[te 	环境	c=4 d=0.951551 t=1633
hu[ah ds[yl 	互动	c=2 d=0.0406645 t=1633
hu[ah lm[et 	互联	c=1 d=0.0119742 t=1633
hu[ah lm[et wh[kx 	互联网	c=1 d=0.000411789 t=1633
hv[dk bc[fy 	汇报	c=1 d=0.222017 t=1633
hv[kk fu[pw 	回复	c=1 d=0.0395327 t=1633
hv[ry yi[yy 	会议	c=3 d=0.40154 t=1633
hv[ry yi[yy ji[yj lu[eu 	会议记录	c=2 d=0.00232494 t=1633
hv[ry yr[kb 	会员	c=0 d=0.0031117 t=1633
hv[ry yr[kb yu[yy dk[bz 	会员预定	c=1 d=0.031273 t=1633
hv[xh fu[pw 	恢复	c=1 d=0.254107 t=1633
hx[at mm[ao 	画面	c=1 d=0.0081987 t=1633
hx[do ds[yl 	滑动	c=1 d=0.00554422 t=1633
hx[yu 	话	c=1 d=0.0037164 t=1633
hz 	后	c=5 d=1.26568 t=1633
hz[ik td[sk 	后台	c=1 d=0.0192547 t=1633
ia[md dc[gd 	查到	c=1 d=0.000652304 t=1633
ia[md xy[yo 	查询	c=1 d=0.0127632 t=1633
ia[yg ju[zj 	差距	c=1 d=0.0724398 t=1633
ie 	车	c=1 d=0.00424235 t=1633
ig[hw 	程	c=2 d=0.0246801 t=1633
ig[hw xu[gy 	程序	c=0 d=0.000444934 t=1633
ig[wv uu[wh 	成熟	c=1 d=0.0907177 t=1633
ih[ap jx[bu 	厂家	c=1 d=0.0146253 t=1633
ih[pn 	长	c=2 d=0.177791 t=1633
ih[pn kr[bj gc[wk 	长宽高	c=1 d=0.137381 t=1633
ii[kv de[bu 	吃的	c=0 d=0.00042963 t=1633
ii[kv ua[kg 	吃啥	c=0 d=0.000956781 t=1633
ii[kv vy[dv 	吃准	c=2 d=0.389188 t=1633
ii[un cy[ud 	尺寸	c=8 d=1.29301 t=1633
ij[wi hz[ik 	产后	c=1 d=0.0269169 t=1633
ij[wi jx[ry 	产假	c=2 d=0.054946 t=1633
ij[wi pb[kk 	产品	c=1 d=0.00180897 t=1633
ij[wi qm[bd 	产前	c=1 d=0.0267827 t=1633
il[rd jm[zy 	创建	c=1 d=0.000739157 t=1633
ir 	穿	c=0 d=0.00432828 t=1633
is[bl wu[nw 	宠物	c=2 d=0.0406161 t=1633
is[ql dp[yq 	重叠	c=1 d=0.00106477 t=1633
is[ql xb[lj 	重新	c=1 d=0.115903 t=1633
is[wy dm[ov 	充电	c=2 d=0.043222 t=1633
iu[di mo[fd 	触摸	c=0 d=0.0020141 t=1633
iu[di mo[fd dm[vh ji[fk 	触摸点击	c=1 d=0.0202419 t=1633
iu[ro cy[uz 	储存	c=1 d=0.00100779 t=1633
iu[uu tu[kd 	出图	c=1 d=0.331211 t=1633
iu[uu wf[mk ti[oy 	出问题	c=1 d=0.380983 t=1633
iu[uu xm[eq 	出险	c=2 d=0.00375714 t=1633
iu[uu yi[aa ge[rl 	出一个	c=1 d=0.299692 t=1633
iu[wb li[wl 	处理	c=2 d=0.00142753 t=1633
iz[fy le[al 	抽了	c=1 d=0.0023935 t=1633
jb[mu ys[kf 	禁用	c=1 d=0.290835 t=1633
jb[rv nm[pf 	今年	c=3 d=0.928633 t=1633
jb[rv tm[ad 	今天	c=4 d=0.939797 t=1633
jb[rv tm[ad ka[kk fw[kf 	今天咖啡	c=1 d=0.00527382 t=1633
jb[zj du[gy 	进度	c=2 d=0.0581209 t=1633
jb[zj du[gy hv[ry yi[yy 	进度会议	c=1 d=0.0303487 t=1633
jb[zj ru[pn 	进入	c=0 d=0.00830192 t=1633
jb[zj ru[pn hz 	进入后	c=1 d=0.0359725 t=1633
jb[zj ru[pn ye[ab mm[ao 	进入页面	c=1 d=0.00708341 t=1633
jb[zj ru[pn yi[aa ge[rl 	进入一个	c=1 d=0.0337087 t=1633
jb[zj ru[pn yi[lr hz[ik 	进入以后	c=1 d=0.0066709 t=1633
jb[zj xk[rd 	进行	c=5 d=0.225431 t=1633
ji[ct iu[ui gs[aa zi[db 	基础工资	c=1 d=0.603506 t=1633
ji[ct iu[ui uh[ba 	基础上	c=1 d=0.600496 t=1633
ji[ct jb[rb 	基金	c=1 d=0.00275318 t=1633
ji[ct yu[au 	基于	c=1 d=0.666977 t=1633
ji[fv uu[md 	技术	c=6 d=0.19422 t=1633
ji[fv uu[md dn[yk yj[uk 	技术调研	c=2 d=0.0777447 t=1633
ji[sm xu[sd 	继续	c=1 d=0.0144076 t=1633
ji[yu hx[gd 	计划	c=0 d=0.0431711 t=1633
ji[yu sr[vc 	计算	c=1 d=0.0788664 t=1633
ji[yu sr[vc qi[kk 	计算器	c=1 d=0.628135 t=1633
ji[yu uu[mw 	计数	c=1 d=0.00116504 t=1633
jk[sj ih[xj 	经常	c=1 d=0.0167392 t=1633
jk[sj li[wl 	经理	c=2 d=0.15079 t=1633
jl[ef di[ru 	降低	c=1 d=0.00113627 t=1633
jm[dk do[xx uc[xp 	减多少	c=1 d=0.588605 t=1633
jm[dk uv[hx 	减税	c=1 d=0.609571 t=1633
jm[lm ks[fg 	监控	c=0 d=0.00207543 t=1633
jm[mq ce[dd 	检测	c=1 d=0.00069264 t=1633
jm[mq ia[md 	检查	c=2 d=0.836189 t=1633
jm[ry vl[lt 	健壮	c=1 d=0.000471307 t=1633
jm[vo dj[bu 	简单	c=4 d=0.153602 t=1633
jm[vo hx[rb 	简化	c=1 d=0.0211736 t=1633
jn[lw yu[wo 	教育	c=1 d=0.794534 t=1633
jn[mf yj[mq 	校验	c=1 d=0.000898306 t=1633
jn[rh 	焦	c=1 d=0.00532682 t=1633
jn[sw na[sn 	缴纳	c=1 d=0.00163682 t=1633
jn[wf jk[ck 	交警	c=1 d=0.00419023 t=1633
jn[wf jp[fn 	交接	c=3 d=0.00251851 t=1633
jn[wf uv[hx 	交税	c=4 d=2.53109 t=1633
jp[dn jt[dg 	解决	c=2 d=0.011467 t=1633
jp[dn ui[cf 	解释	c=1 d=0.00373503 t=1633
jp[fn dm[ov hx[yu 	接电话	c=1 d=0.00229965 t=1633
jp[fn kz[la 	接口	c=2 d=0.00151705 t=1633
jp[sk go[tm 	结果	c=4 d=0.100742 t=1633
jp[sk uu[gr 	结束	c=3 d=0.00218101 t=1633
jp[sk uu[gr hz[ik 	结束后	c=1 d=0.0365162 t=1633
jp[tj mm[ao 	界面	c=2 d=0.0139621 t=1633
jq 	就	c=7 d=1.09745 t=1633
jq ii[kv ua[kg 	就吃啥	c=1 d=0.00481991 t=1633
jq[sj jp[sk 	纠结	c=1 d=0.00353515 t=1633
jq[wy hv[ry 	就会	c=1 d=0.0195082 t=1633
jq[wy hv[ry ky[km jr[rv 	就会困倦	c=1 d=0.0183156 t=1633
jq[wy ke[dk yi[lr 	就可以	c=1 d=0.000837575 t=1633
jq[wy mw[du ys[kf 	就没用	c=1 d=0.25924 t=1633
jq[wy mw[du yz[uo 	就没有	c=1 d=0.00195963 t=1633
jq[wy qu[ts 	就去	c=1 d=0.00166156 t=1633
jq[wy ui[oz 	就是	c=1 d=0.00123091 t=1633
jq[wy xl[mo dh[xe yu[au 	就相当于	c=1 d=0.00304273 t=1633
jq[wy yi[aa ge[rl 	就一个	c=1 d=0.315058 t=1633
jt[dg dk[bz 	决定	c=2 d=0.0574034 t=1633
ju[xf li[rd 	举例	c=1 d=0.625002 t=1633
jx[bu dm[ov 	家电	c=1 d=0.371577 t=1633
jx[lk bj[wl 	加班	c=1 d=0.999161 t=1633
jx[lk bj[wl ma 	加班吗	c=1 d=0.421052 t=1633
jx[lk dm[vh 	加点	c=1 d=0.369723 t=1633
jx[lk uh[ba 	加上	c=2 d=0.00165029 t=1633
jx[lk yz[dy 	加油	c=1 d=0.00321477 t=1633
jx[lk zd[gi 	加载	c=1 d=0.0063881 t=1633
jx[lk zd[gi lp[dd bn[fy 	加载列表	c=1 d=0.00591656 t=1633
jx[rj ge[mk 	价格	c=1 d=0.00200924 t=1633
jx[ry 	假	c=1 d=0.444858 t=1633
ka 	卡	c=1 d=0.000311223 t=1633
ka[kk fw[kf 	咖啡	c=0 d=0.000524752 t=1633
kc[lk lv[hx 	考虑	c=1 d=0.00192803 t=1633
kd[ac hv[ry 	开会	c=1 d=0.000461975 t=1633
kd[ac qi[hk 	开启	c=3 d=1.0291 t=1633
kd[ac ui[nk 	开始	c=6 d=0.611818 t=1633
kd[ac xb[dd 	开心	c=1 d=0.0178634 t=1633
kd[ac yi[aa ge[rl 	开一个	c=1 d=0.0244775 t=1633
kd[ac yr[dx 	开源	c=1 d=0.0623495 t=1633
kd[uj di[cj 	凯蒂	c=1 d=0.937067 t=1633
ke 	可	c=3 d=0.212874 t=1633
ke[dk gv[vb 	可贵	c=0 d=0.00096577 t=1633
ke[dk gv[vb le 	可贵了	c=1 d=0.00970611 t=1633
ke[dk ng[sb 	可能	c=1 d=0.00173804 t=1633
ke[dk tv[zg 	可退	c=1 d=0.56836 t=1633
ke[dk xk[rd 	可行	c=1 d=0.0953692 t=1633
ke[dk yi[lr 	可以	c=17 d=1.9699 t=1633
ke[dk yi[lr de[bu hx[yu 	可以的话	c=1 d=0.32628 t=1633
ke[dk yi[lr jm[lm ks[fg 	可以监控	c=1 d=0.0208584 t=1633
ke[dk yi[lr ks[fg vi[nd 	可以控制	c=1 d=0.366045 t=1633
ke[dk yi[lr ma[km 	可以吗	c=1 d=0.324652 t=1633
ke[dk yi[lr qu[ts 	可以去	c=1 d=0.00196945 t=1633
ke[dk yi[lr ww[ld wo[ga 	可以为我	c=1 d=0.733447 t=1633
ke[dk yi[lr xx[ab wu[pu qu[ts 	可以下午去	c=1 d=0.0257325 t=1633
kj[uo kj[uo 	看看	c=6 d=0.55013 t=1633
kj[uo kj[uo xk[rd bu[ab xk[rd 	看看行不行	c=1 d=0.0261214 t=1633
kj[uo kj[uo yz[uo ua[kg 	看看有啥	c=1 d=0.000372602 t=1633
kk[tg 	块	c=1 d=0.053397 t=1633
kk[xg di[zd 	快递	c=2 d=1.88825 t=1633
kk[xg su[zu 	快速	c=2 d=0.0091468 t=1633
kl[mw jx[lm 	框架	c=1 d=0.0696568 t=1633
kr[bj 	宽	c=1 d=0.169483 t=1633
ks[fg vi[nd 	控制	c=0 d=0.0364219 t=1633
ky[km jr[rv 	困倦	c=0 d=0.00182243 t=1633
ky[ob di[bd 	昆弟	c=1 d=0.932394 t=1633
ky[tu ky[tu 	坤坤	c=1 d=0.000382034 t=1633
kz[fk 	扣	c=1 d=0.540641 t=1633
kz[fk iu[em 	扣除	c=3 d=1.68802 t=1633
kz[fk uv[hx 	扣税	c=1 d=0.535261 t=1633
la[fl 	拉	c=2 d=0.235623 t=1633
la[fl le[al 	拉了	c=1 d=0.382893 t=1633
la[fl qu[ey 	拉取	c=1 d=0.970446 t=1633
